ubigeo,lat,lon,mita,cusco,border,dell_d_bnd,dell_signed,elevation,slope,bfe4_1,bfe4_2,bfe4_3,stunted,n_children
30101,13.633890151977539,72.88139343261719,0,0,1,6.092747211456299,-6.092747211456299,3.31417,13.9305,0,0,1,0.17907361455748552,4836
30102,13.947779655456543,72.99138641357422,1,0,0,29.734169006347656,29.734169006347656,3.99096,10.0899,0,0,1,0.28104575163398693,153
30103,13.874170303344727,72.8727798461914,1,0,0,17.984289169311523,17.984289169311523,3.90165,9.98946,0,0,1,0.3562231759656652,233
30104,13.550000190734863,72.69999694824219,0,0,1,17.03913116455078,-17.03913116455078,3.58834,11.512,0,0,1,0.37572254335260113,1730
30105,13.5,72.9333267211914,0,0,1,11.45380973815918,-11.45380973815918,2.94595,17.5783,0,0,1,0.46215139442231074,502
30106,13.866669654846191,72.76667022705078,1,0,1,12.939820289611816,12.939820289611816,3.74275,11.5836,0,0,1,0.5967213114754099,305
30107,13.862500190734863,73.0727767944336,1,0,1,25.54572105407715,25.54572105407715,3.38007,11.5478,0,0,1,0.24281984334203657,383
30108,13.513330459594727,72.80999755859375,0,0,0,20.846050262451172,-20.846050262451172,3.22386,15.8681,0,0,1,0.4650537634408602,372
30109,13.616669654846191,72.87139129638672,0,0,0,8.27304458618164,-8.27304458618164,3.75569,12.5885,0,0,1,0.26912181303116145,353
30201,13.66055965423584,73.38667297363281,1,0,0,25.691089630126953,25.691089630126953,3.85887,4.7339,0,0,1,0.33402489626556015,3374
30202,13.527779579162598,73.36332702636719,1,0,0,13.598609924316406,13.598609924316406,2.68384,13.269,0,0,1,0.4365994236311239,694
30203,13.87166976928711,73.66972351074219,1,0,0,63.49855041503906,63.49855041503906,3.68372,8.02072,0,0,1,0.4246575342465753,146
30204,13.645000457763672,73.0875015258789,1,0,1,10.331950187683105,10.331950187683105,3.25491,14.2025,0,0,1,0.4172749391727494,822
30205,13.760279655456543,73.53333282470703,1,0,0,44.39365005493164,44.39365005493164,3.57607,8.59895,0,0,1,0.4391304347826087,460
30206,14.048330307006836,73.60973358154297,1,0,0,74.7375717163086,74.7375717163086,3.64,7.87194,0,0,1,0.42857142857142855,91
30207,13.699999809265137,73.0999984741211,1,0,0,15.276009559631348,15.276009559631348,3.68349,9.94351,0,0,1,0.5061162079510704,654
30208,13.616390228271484,73.08778381347656,1,0,1,7.747045993804932,7.747045993804932,2.80676,16.9584,0,0,1,0.369727047146402,403
30209,13.608059883117676,73.34388732910156,1,0,0,18.266420364379883,18.266420364379883,3.30712,9.35874,0,0,1,0.4287330316742081,884
30210,14.18694019317627,73.54389190673828,1,0,0,85.139923095703125,85.139923095703125,4.00955,4.221,0,0,1,0.43333333333333335,240
30211,14.084440231323242,73.5888900756836,1,0,0,77.031402587890625,77.031402587890625,3.92521,5.06105,0,0,1,0.5306122448979592,98
30212,13.774720191955566,73.60388946533203,1,0,0,50.945430755615234,50.945430755615234,3.24637,12.7043,0,0,1,0.5357142857142857,364
30213,13.65056037902832,73.36499786376953,1,0,0,23.420669555664062,23.420669555664062,3.97107,4.97999,0,0,1,0.4565217391304347,1656
30214,13.949999809265137,73.5999984741211,1,0,0,65.14784240722656,65.14784240722656,3.37507,12.0909,0,0,1,0.5536480686695279,233
30215,13.655830383300781,73.49305725097656,1,0,0,33.27479934692383,33.27479934692383,3.67603,6.89444,0,0,1,0.3757281553398058,1030
30216,13.653059959411621,73.42888641357422,1,0,0,28.016590118408203,28.016590118408203,3.36513,9.07038,0,0,1,0.3093396787626413,1681
30217,14.052780151367188,73.56555938720703,1,0,0,72.747528076171875,72.747528076171875,4.05648,3.62141,0,0,1,0.5603864734299517,207
30218,13.787500381469727,73.47222137451172,1,0,0,42.48490905761719,42.48490905761719,3.73034,6.80738,0,0,1,0.5951219512195122,410
30219,13.529999732971191,73.279998779296875,1,0,0,7.218214988708496,7.218214988708496,2.80966,16.3553,0,0,1,0.3094170403587444,223
30301,14.360560417175293,72.87555694580078,1,0,0,33.392879486083984,33.392879486083984,4.52151,5.78915,1,0,0,0.5214723926380368,326
30302,14.207779884338379,73.06639099121094,1,0,0,57.35097885131836,57.35097885131836,4.05753,9.22068,1,0,0,0.40625,32
30303,14.331390380859375,72.89026641845703,1,0,0,36.938987731933594,36.938987731933594,4.28354,6.79119,1,0,0,0.5985401459854015,137
30304,14.42138957977295,72.91194152832031,1,0,0,28.562938690185547,28.562938690185547,4.50271,6.27265,1,0,0,0.37158469945355194,183
30305,14.256110191345215,72.55500030517578,1,0,0,45.297000885009766,45.297000885009766,4.57417,5.34487,1,0,0,0.41603053435114506,262
30306,14.22249984741211,73.02555847167969,1,0,0,53.75054931640625,53.75054931640625,4.02843,9.3834,1,0,0,0.36885245901639346,122
30307,14.308890342712402,72.94666290283203,1,0,0,41.411319732666016,41.411319732666016,4.02306,9.51286,1,0,0,0.5364238410596026,151
30401,14.300559997558594,73.23082733154297,1,0,0,60.087440490722656,60.087440490722656,3.8583,10.0776,1,0,0,0.25995316159250587,427
30402,14.119440078735352,73.31804656982422,1,0,0,64.40003967285156,64.40003967285156,3.87018,10.0191,0,0,1,0.2857142857142857,56
30403,14.377220153808594,73.16139221191406,1,0,0,48.991737365722656,48.991737365722656,4.21872,8.03015,1,0,0,0.5,100
30404,13.973609924316406,73.0627670288086,1,0,0,35.25376892089844,35.25376892089844,3.54168,11.4129,0,0,1,0.4,260
30405,14.007780075073242,73.2477798461914,1,0,0,50.217987060546875,50.217987060546875,3.57473,9.3403,0,0,1,0.44642857142857145,56
30406,14.4158296585083,73.20777893066406,1,0,0,48.0872688293457,48.0872688293457,4.34594,4.38106,1,0,0,0.5530085959885387,349
30407,14.132499694824219,73.26860809326172,1,0,0,62.082340240478516,62.082340240478516,3.34109,14.2938,0,0,1,0.2558139534883721,43
30408,14.094440460205078,73.60138702392578,1,0,0,78.65703582763672,78.65703582763672,3.55816,13.442,0,0,1,0.4,100
30409,13.950559616088867,73.227783203125,1,0,0,44.321929931640625,44.321929931640625,3.82615,9.76238,0,0,1,0.6637168141592921,226
30410,14.216670036315918,73.083343505859375,1,0,0,57.49696731567383,57.49696731567383,3.7306,12.8812,1,0,0,0.4356435643564357,101
30411,13.924169540405273,73.182220458984375,1,0,0,38.70370101928711,38.70370101928711,3.89115,9.02383,0,0,1,0.3780487804878049,82
30412,14.206939697265625,73.33556365966797,1,0,0,73.02201080322266,73.02201080322266,4.0968,5.28507,0,0,1,0.3764705882352941,85
